gameId,teamId,teamCity,teamName,teamTricode,teamSlug,wins,losses,score,seed,leaderType,personId,name,playerSlug,jerseyNum,position,points,rebounds,assists
0042500311,1610612760,Oklahoma City,Thunder,OKC,thunder,0,0,0,1,home,1628983,Shai Gilgeous-Alexander,shai-gilgeous-alexander,2,G,29.1,3.0,7.1
0042500311,1610612759,San Antonio,Spurs,SAS,spurs,0,0,0,2,away,1641705,Victor Wembanyama,victor-wembanyama,1,F-C,20.3,10.7,2.4
